latitude,longitude,chainage_km,elevation_m,slope_deg,aspect_deg,twi,lithology,daily_rainfall_mm,api_11,soil_moisture,pore_pressure_kpa,factor_of_safety,risk_level
25.75113,91.92758,51.81,804.9,44.91,322.7,8.56,Shillong Quartzite,12.5,166.9,0.605,19.16,0.646,3
25.90669,91.91939,54.2,904.5,43.12,210.8,5.68,Shillong Quartzite,193.7,299.0,0.822,24.0,0.647,3
25.84764,91.89456,65.64,1259.6,42.79,336.4,7.48,Shillong Quartzite,71.2,127.4,0.478,14.53,0.8,3
25.81164,91.94429,50.2,764.2,43.52,124.5,7.65,Weathered Regolith / Phyllite,83.0,222.8,0.634,24.0,0.646,3
25.69213,91.84606,66.09,1283.5,52.72,243.8,7.57,Colluvial Debris,115.6,189.9,0.627,21.2,0.67,3
25.69212,91.8342,42.64,474.7,51.89,73.7,6.67,Granite Gneiss,8.7,108.4,0.427,12.19,0.716,3
25.66568,91.93102,63.3,1266.4,29.72,222.6,7.93,Shillong Quartzite,11.8,68.5,0.364,8.45,1.39,1
25.88387,91.87709,65.43,1276.2,49.46,46.7,7.37,Colluvial Debris,6.2,81.8,0.453,9.64,0.821,3
25.8123,91.93011,45.45,576.5,31.76,0.7,8.52,Weathered Regolith / Phyllite,19.8,62.1,0.25,8.0,1.315,1
25.84118,91.9361,52.91,857.1,41.27,335.4,8.4,Weathered Regolith / Phyllite,51.9,135.8,0.537,15.79,0.797,3
25.65556,91.82812,44.96,617.5,32.74,199.8,8.62,Granite Gneiss,21.0,60.4,0.292,7.87,1.279,1
25.91188,91.93485,61.2,1140.2,36.85,333.7,7.42,Colluvial Debris,3.7,131.6,0.498,14.95,0.931,3
25.87476,91.87828,56.06,939.8,27.58,120.2,10.5,Shillong Quartzite,8.1,80.8,0.38,10.78,1.42,1
25.70733,91.88636,59.06,1090.3,45.45,118.0,8.49,Weathered Regolith / Phyllite,23.2,84.2,0.422,10.34,0.866,3
25.69909,91.90146,45.89,638.8,45.56,144.2,6.84,Granite Gneiss,24.5,89.3,0.381,10.22,0.867,3
25.69952,91.94043,46.35,668.1,52.89,254.2,6.33,Weathered Regolith / Phyllite,24.1,148.7,0.476,16.33,0.671,3
25.73215,91.82249,41.24,442.1,44.1,203.7,7.07,Shillong Quartzite,2.2,94.4,0.399,10.86,0.877,3
25.79168,91.88199,49.66,757.2,28.22,333.1,8.06,Weathered Regolith / Phyllite,39.2,139.8,0.557,16.08,1.209,2
25.76663,91.9094,56.79,1019.3,46.09,9.2,8.47,Colluvial Debris,67.2,147.9,0.521,17.1,0.665,3
25.72863,91.91395,65.74,1308.1,36.34,255.0,8.59,Shillong Quartzite,20.0,108.7,0.398,12.98,1.004,2
25.8152,91.91003,60.01,1153.1,41.51,118.9,8.63,Colluvial Debris,35.5,99.8,0.395,12.06,0.897,3
25.68766,91.83748,53.06,883.2,32.6,64.9,7.35,Weathered Regolith / Phyllite,68.7,159.6,0.543,17.89,0.975,3
25.72888,91.85892,68.59,1476.1,50.58,183.7,7.61,Weathered Regolith / Phyllite,142.3,228.3,0.689,24.0,0.658,3
25.74892,91.86663,61.58,1191.9,38.72,181.8,7.16,Colluvial Debris,31.4,163.3,0.54,18.22,0.788,3
25.77314,91.92458,67.9,1299.6,35.2,49.3,6.54,Weathered Regolith / Phyllite,35.8,100.7,0.443,11.32,1.088,2
25.862,91.85624,55.83,938.0,49.07,72.7,7.89,Shillong Quartzite,8.4,86.3,0.453,10.32,0.807,3
25.70391,91.84739,47.77,607.1,35.98,146.9,6.69,Weathered Regolith / Phyllite,24.5,61.2,0.355,7.18,1.185,2
25.78884,91.94447,41.58,429.9,47.37,147.2,7.91,Granite Gneiss,51.7,157.0,0.552,17.85,0.648,3
25.80995,91.82115,61.78,1147.5,39.74,114.3,8.13,Weathered Regolith / Phyllite,69.9,151.8,0.557,17.38,0.787,3
25.66254,91.94972,43.64,562.1,38.52,53.5,8.61,Weathered Regolith / Phyllite,63.7,142.6,0.521,16.59,0.84,3
25.81404,91.90799,49.08,700.3,32.64,1.6,6.8,Shillong Quartzite,27.1,134.9,0.485,15.05,1.062,3
25.69604,91.9277,55.97,1014.9,47.65,349.3,8.21,Weathered Regolith / Phyllite,15.4,134.5,0.455,15.57,0.681,3
25.66756,91.8583,56.93,965.9,51.76,339.7,9.58,Weathered Regolith / Phyllite,27.3,76.2,0.326,9.92,0.783,3
25.9062,91.82186,58.02,1019.1,40.1,174.1,8.68,Granite Gneiss,14.4,87.2,0.373,10.74,0.967,3
25.91072,91.91592,44.99,525.0,49.44,358.2,8.06,Shillong Quartzite,51.0,146.6,0.516,16.8,0.653,3
25.86827,91.92844,51.39,856.5,33.1,242.5,8.4,Weathered Regolith / Phyllite,18.4,110.3,0.47,13.08,1.106,3
25.73225,91.91626,58.52,1111.2,41.33,24.8,7.49,Shillong Quartzite,64.8,164.7,0.54,18.49,0.72,3
25.67637,91.83857,69.09,1413.0,34.79,42.4,8.52,Colluvial Debris,20.0,133.5,0.462,15.59,0.974,3
25.83474,91.91795,61.83,1104.8,46.93,329.8,8.07,Weathered Regolith / Phyllite,30.2,146.7,0.516,16.82,0.658,3
25.76884,91.91996,67.68,1360.4,37.08,226.8,8.18,Shillong Quartzite,309.4,385.9,0.85,24.0,0.671,3
25.68295,91.90561,62.87,1209.6,43.16,303.5,8.4,Granite Gneiss,115.0,196.5,0.591,22.24,0.647,3
25.7837,91.9196,57.75,995.9,46.83,323.4,7.37,Weathered Regolith / Phyllite,37.4,111.0,0.398,12.75,0.774,3
25.65928,91.92997,45.76,695.7,50.61,161.3,6.06,Weathered Regolith / Phyllite,4.2,101.7,0.431,11.23,0.76,3
25.89552,91.89977,60.0,1173.0,49.98,17.5,7.54,Shillong Quartzite,51.1,221.0,0.663,24.0,0.655,3
25.71987,91.83152,58.7,984.6,27.62,67.8,7.52,Granite Gneiss,25.4,94.8,0.438,11.08,1.407,1
25.82888,91.88339,58.07,986.4,45.12,24.0,7.25,Weathered Regolith / Phyllite,77.9,190.3,0.612,21.12,0.646,3
25.73416,91.83009,54.69,932.6,42.28,67.9,5.59,Granite Gneiss,56.3,113.2,0.428,12.26,0.874,3
25.79042,91.87298,55.86,912.2,42.21,147.8,7.35,Shillong Quartzite,111.0,207.7,0.592,23.01,0.649,3
25.79761,91.87292,50.03,758.5,45.21,42.6,8.37,Weathered Regolith / Phyllite,4.1,97.4,0.397,11.69,0.832,3
25.69991,91.82858,55.58,945.7,34.03,60.0,8.07,Shillong Quartzite,25.7,83.1,0.326,10.06,1.165,2
25.91179,91.86535,45.93,605.9,45.86,160.5,5.38,Colluvial Debris,20.5,133.3,0.424,14.31,0.747,3
25.85929,91.83443,64.16,1286.2,36.42,122.5,7.79,Weathered Regolith / Phyllite,5.2,90.0,0.44,10.68,1.069,2
25.90366,91.92507,45.57,667.4,30.71,168.4,7.49,Shillong Quartzite,3.9,46.5,0.265,5.93,1.425,1
25.8916,91.9432,42.55,505.1,46.93,154.5,7.44,Shillong Quartzite,119.5,207.5,0.674,23.02,0.647,3
25.81143,91.8294,53.09,809.6,47.5,232.0,7.22,Weathered Regolith / Phyllite,1.4,121.6,0.405,13.81,0.733,3
25.89891,91.94416,59.75,1097.0,48.29,337.4,8.73,Weathered Regolith / Phyllite,57.9,125.4,0.429,14.81,0.692,3
25.67389,91.88793,53.13,836.2,39.38,38.8,5.92,Weathered Regolith / Phyllite,46.1,131.1,0.438,14.3,0.884,3
25.70292,91.85894,48.3,770.3,49.67,35.7,7.87,Weathered Regolith / Phyllite,43.1,103.1,0.436,12.1,0.748,3
25.66221,91.82999,56.75,1013.8,46.13,307.0,8.47,Weathered Regolith / Phyllite,0.5,85.8,0.389,10.5,0.849,3
25.73784,91.88508,50.41,780.5,47.24,182.3,8.93,Granite Gneiss,1.4,122.7,0.399,14.61,0.715,3
25.75494,91.92329,67.99,1405.5,47.81,275.9,6.44,Colluvial Debris,22.3,120.1,0.39,13.33,0.742,3
